S.No.,HSCode,Commodity,April-2020,April-2021,April-2022,April-2023,April-2024,April-2025,%Growth-2020-21,%Growth-2021-22,%Growth-2022-23,%Growth-2023-24,%Growth-2024-25
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",69.14,658.86,847.27,686.87,666.19,751.76,852.95,28.6,-18.93,-3.01,12.85
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,76.53,497.75,532.0,418.14,445.7,461.96,550.44,6.88,-21.4,6.59,3.65
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",15.17,164.42,239.36,187.97,169.63,187.58,983.79,45.58,-21.47,-9.76,10.58
65,65,HEADGEAR AND PARTS THEREOF.,0.29,8.94,9.18,7.87,6.05,8.44,2966.72,2.66,-14.23,-23.16,39.58
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.05,0.34,0.37,0.28,0.55,0.64,617.68,10.57,-24.54,94.89,17.2
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,4.53,59.63,41.2,46.51,45.49,38.63,1217.12,-30.9,12.87,-2.19,-15.08
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",13.55,185.12,209.44,174.55,171.31,174.27,1266.0,13.14,-16.66,-1.85,1.73
69,69,CERAMIC PRODUCTS.,32.03,199.28,207.34,261.82,242.31,232.97,522.17,4.05,26.27,-7.45,-3.86
70,70,GLASS AND GLASSWARE.,18.71,76.05,93.11,89.4,88.7,95.27,306.39,22.43,-3.99,-0.78,7.42
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",36.54,3394.46,3481.19,2439.22,2268.73,2510.53,9189.83,2.56,-29.93,-6.99,10.66
72,72,IRON AND STEEL,462.79,1428.36,1785.99,1327.12,843.8,851.89,208.64,25.04,-25.69,-36.42,0.96
73,73,ARTICLES OF IRON OR STEEL,101.96,597.81,845.3,833.94,734.12,774.49,486.31,41.4,-1.34,-11.97,5.5
74,74,COPPER AND ARTICLES THEREOF.,26.47,158.27,136.29,179.0,113.21,161.72,497.93,-13.89,31.34,-36.75,42.84
75,75,NICKEL AND ARTICLES THEREOF.,1.18,6.72,60.98,13.27,13.09,13.21,470.73,807.48,-78.24,-1.34,0.93
76,76,ALUMINIUM AND ARTICLES THEREOF.,388.36,597.61,902.74,620.97,527.48,492.45,53.88,51.06,-31.21,-15.06,-6.64
77,78,LEAD AND ARTICLES THEREOF.,8.53,21.79,58.59,39.28,63.14,75.98,155.37,168.88,-32.96,60.73,20.34
78,79,ZINC AND ARTICLES THEREOF.,12.75,82.13,141.72,92.01,66.65,50.54,544.04,72.55,-35.07,-27.56,-24.17
79,80,TIN AND ARTICLES THEREOF.,0.19,0.79,0.84,0.7,1.38,1.92,313.42,6.48,-16.44,96.52,39.85
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1.0,6.28,13.4,10.82,8.73,20.93,528.72,113.2,-19.26,-19.27,139.68
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",8.26,90.21,107.71,89.83,87.88,97.43,992.81,19.4,-16.6,-2.18,10.87
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,6.44,67.8,74.24,71.36,69.03,80.61,952.86,9.5,-3.88,-3.27,16.78
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",344.31,1959.02,2159.29,2339.92,2536.43,2939.1,468.98,10.22,8.37,8.4,15.88
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",250.44,1276.5,2114.91,2559.59,3014.35,4079.49,409.7,65.68,21.03,17.77,35.34
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",1.95,25.22,41.43,27.71,31.16,30.48,1190.17,64.26,-33.11,12.46,-2.18
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",100.55,1450.5,1709.06,1678.15,1642.22,1922.88,1342.58,17.83,-1.81,-2.14,17.09
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",24.12,74.76,124.47,105.57,280.69,128.52,209.98,66.49,-15.18,165.87,-54.21
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",677.4,455.25,294.73,323.18,265.15,509.01,-32.79,-35.26,9.65,-17.96,91.97
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",113.6,314.44,354.57,388.88,367.67,421.38,176.8,12.76,9.68,-5.45,14.61
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.09,6.04,9.11,6.35,4.35,5.92,6791.25,50.73,-30.32,-31.45,36.17
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.04,2.96,4.31,4.25,3.74,4.45,6819.6,45.9,-1.59,-11.79,18.78
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,5.23,19.61,13.87,19.77,123.15,129.47,274.72,-29.26,42.53,522.93,5.13
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",8.52,194.88,227.26,183.35,187.59,200.58,2186.69,16.62,-19.32,2.32,6.92
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",3.54,32.27,40.95,33.99,34.15,38.58,811.74,26.9,-17.0,0.49,12.97
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,15.53,50.06,71.04,65.94,59.85,62.28,222.38,41.92,-7.18,-9.23,4.06
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.12,2.7,3.55,13.66,6.9,14.98,2207.18,31.43,284.51,-49.48,117.08
97,98,PROJECT GOODS; SOME SPECIAL USES.,0.48,0.84,1.19,2.1,1.75,0.65,75.09,42.42,76.36,-16.5,-62.77
98,99,MISCELLANEOUS GOODS.,5.12,3.49,3.55,14.04,0.03,0.02,-31.93,1.67,296.0,-99.77,-34.98
,,India's Total Export,10173.26,30750.58,39698.17,34618.45,35303.6,38461.88,202.27,29.1,-12.8,1.98,8.95
